,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,mobile,tag,shisiwu,date
0,14400976,4804574,966,2,7.0,0,W***,押金不退 欺骗小孩,您好领导，我是在上海嘉定区泰顺路207号，昆山永居房地产开发有限公司，交了六千块钱押金，说是看房子，我们任何协议没签，现在房子也没要，...,1651135266,223.104.247.*,待回复,待回复,未交办,0,0,嘉定区区长高香,投诉,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651245520, 北京市,,,False,2022-04-28
1,14397600,6404378,555,6,4.0,0,W***,公司欠薪,本人于2020年05月至2022年03月在市否韩康（上海）健康科技发展有限公司从事设计工作，自2021年12月开始市否韩康（<labe...,1651126358,183.193.140.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,企业,微信小程序,,,,,0,1,,,,,,,0,0,1651214482, 上海市,,,False,2022-04-28
2,14396754,6669433,555,6,14.0,0,W***,海豚音乐，擅自停课，学费不退,每周一次，在上了26节课后，app突然登陆不上去，去了公众号才发现，公司资金链断裂，宣布停课，学费的事情没有提，后来打公司电话说公司没有钱，先登记一下，再后来公司电话也打不通了，我们身在外地，没有办法...,1651123925,111.161.171.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,教育,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651243344, 天津市,,,False,2022-04-28
3,14396083,6668953,555,1,11.0,0,一***,上海市考社保缴纳是否影响入职,我是今年应届毕业生参加上海市考面试的考生，因疫情原因推迟，现在不知道何时重启，不知道应届生找了其他工作交了社保是否会影响后面市考公务员...,1651122101,117.21.5.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,就业,手机浏览器,,,,,0,1,,,,,,,0,0,1651132072, 江西省 南昌市,,,False,2022-04-28
4,14395166,6668333,555,6,14.0,0,W***,海豚音乐卷家长辛苦钱跑路，投诉无门请求做主,敬爱的书记您好：双减政策下来以后，更注重孩子身心健康，孩子爱跳舞唱歌，攒钱给他报了vipsing海豚音乐的线上课，公司名称是上海言津信...,1651119850,116.178.3.*,待回复,待回复,未交办,0,0,上海市委书记李强,求助,教育,微信小程序,,,,,0,1,0.0,,,,,,0,1,1651245520, 辽宁省 朝阳市,,,False,2022-04-28
5,14395071,6667988,3535,2,2.0,0,举***,投诉灯塔市幸福家园,本人于2月份去上海工作，家里有一个11个月的宝宝，因孩子对牛奶过敏，平时我也是一个月回去一次留母乳，我现在要求返乡喂她母乳。<labe...,1651119588,101.87.23.*,待回复,待回复,未交办,0,0,灯塔市委书记,投诉,政务,客户端,,,,,0,1,0.0,,,,,,0,1,1651243344, 上海市,,,False,2022-04-28
6,14393194,6454626,555,1,11.0,0,a***,请求签订劳动合同,我于3月21日入职上海沂申安保公司工作已一个多月，公司安排我们在上海...,1651115337,223.104.211.*,待回复,待回复,未交办,0,0,上海市委书记李强,咨询,就业,客户端,,,,,0,1,,,,,,,0,0,1651214482, 北京市,,,False,2022-04-28
7,14391182,6665669,1148,6,6.0,133,热***,快递司机应该怎么转码,我是一名跑韵达快递的长途司机 四月二十号收到短信新乡市推送健康码变为了黄码 申请转码的时候需要社区证明 我们已经从上海疫情开始没有回过...,1651111598,61.158.147.*,办理中,待回复,线下交办,0,0,新乡市市长魏建平,求助,交通,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1651132729, 河南省 开封市,,,False,2022-04-28
8,14390287,1965710,1169,6,12.0,116,乡***,求助,我爱人目前孕期32周+2天，由于我和我爱人在武汉购买了房子，准备在武汉定居，因此我想把她接回武汉生产，但是由于我们没有私家车无法自行离沪，而且上海</...,1651109721,218.106.117.*,待回复,待回复,未交办,0,0,武汉市委书记郭元强,求助,医疗,PC浏览器,,,,,0,1,,,,,,,0,0,1651204939, 湖北省 武汉市,,,False,2022-04-28
9,14389602,6626976,967,1,6.0,0,C***,关于地铁2号线延伸到上海东站的咨询,"尊敬的领导
您好，上海东站是上海四大铁路主客站之一，沿海铁路<lab...",1651108034,112.234.113.*,待回复,待回复,未交办,0,0,浦东新区区委书记朱芝松,咨询,交通,客户端,,,,,0,1,,,,,,,0,0,1651132072, 山东省 临沂市,,,False,2022-04-28
