,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,mobile,tag,shisiwu,date
0,15026070,6978734,560,2,7.0,0,s***,余杭区水木清华物业污染环境扰民,3.物业垃圾桶经常摆在外面，还把居家隔离专用垃圾桶放置在垃圾房外面，我们每天出门就是垃圾,1654750356,211.90.237.*,待回复,待回复,未交办,0,0,浙江省省长王浩,投诉,城建,手机浏览器,,,,,0,1,1.0,,,,,,0,1,1654784568, 浙江省 杭州市,,,False,2022-06-09
1,15021473,7001461,874,2,7.0,0,q***,反映在新建小区门口建垃圾压缩站问题,近期，荣盛地产要在锦绣御府园区北大门左侧，紧挨地下车库出口处建造一座垃圾压缩站，此位置紧邻住宅、门市、超市、饭店和物业用房，不符合《沈阳市城市环境卫生设施配套建设规范》有关单独、<label styl...,1654731189,218.60.148.*,待回复,待回复,未交办,0,0,沈阳市市长吕志成,投诉,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1654787587, 辽宁省 沈阳市,,,False,2022-06-08
2,15018363,7002821,1574,2,7.0,0,楚***,关于碧桂园物业圈建破坏商业街的投诉,"尊敬的刘书记：
碧桂园物业管理公司在不预先征求商铺业主意见、未经规划部门审批的情况下，私自对1-27号商铺外围增设收费道闸、收费岗亭、大型广告牌、隔离...",1654692425,113.92.93.*,待回复,待回复,未交办,0,3,楚雄彝族自治州党委书记刘勇,投诉,城建,PC浏览器,,,,,0,1,1.0,,,,,,0,1,1654767261, 广东省 深圳市,,,False,2022-06-08
3,15017724,6296096,1220,6,7.0,0,W***,坪河雅苑的防疫物资何时撤走？何时转交住建局,阻碍住建局签约的困难问题是此项目之前作为防疫隔离驿站布置的空调、热水器、床、桌子和座椅等物资迟迟不撤离，住建局无法接手并移交给住户。请...,1654688677,112.82.89.*,待回复,待回复,未交办,0,0,深圳市市长覃伟中,求助,城建,微信小程序,,,,,0,1,,,,,,,0,0,1654785524, 江苏省 盐城市,,,False,2022-06-08
4,15017244,7002237,2334,1,12.0,0,W***,防疫政策,请问我在杭州落地隔离14天后，回萧县还需要隔离嘛？现在咱们县<lab...,1654685745,61.6.236.*,已办理,已办理,未交办,0,0,萧县县委书记,咨询,医疗,微信小程序,,,,,0,1,,,,,,,0,0,1654695644,热心网友,,,False,2022-06-08
5,15016320,6508606,1031,6,14.0,0,达***,希望毕业证可以邮寄,学校要求毕业生在6月19号左右返校拿毕业证书，必须本人到场，同学不能代领且校方不予邮寄，平常倒无所谓，矛盾的是现在疫情防控期间，交通不便，校方又要求进校前酒店自行<label style='color...,1654680712,112.31.21.*,待回复,待回复,未交办,0,0,芜湖市委书记单向前,求助,教育,PC浏览器,,,,,0,1,,,,,,,0,0,1654695644, 上海市,,,False,2022-06-08
6,15014255,7000563,1644,5,7.0,0,孟***,便道停车，影响学生接送，存在隐患,武安实验小学西北角便道上经常有车辆停放，造成学生放学时出行拥堵，影响出行安全，建议效仿学校西侧便道安装隔离栏，解决问题。,1654671802,221.193.241.*,待回复,待回复,未交办,0,0,武安市委书记,建言,城建,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1654755463, 河北省 邯郸市,,,False,2022-06-08
7,15011734,3352661,556,6,11.0,0,陈***,补贴相关问题咨询,尊敬的领导你们好我是甘肃人，目前在上海金山区明鹏建筑工程有限公司的工地上班…我所在的工作的单位是上海龙甲装饰公司金山项目部…由于上海疫情…为了配合政府管控…于2022年3月份停工…4到5月份一直在<l...,1654659816,112.65.48.*,待回复,待回复,未交办,0,2,上海市市长龚正,求助,就业,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1654695644, 上海市,,,False,2022-06-08
8,15011612,4411665,3897,6,7.0,0,不***,拥堵不堪，请求修改道路规划,建议：  方案一：该路口处往西一百米、弯道处、往东一百米范围内加装道路中央简易隔离护栏，从源头根除违停的可能性。,1654659252,122.4.123.*,待回复,待回复,未交办,0,4,市北区委书记,求助,城建,客户端,,,,,0,1,1.0,,,,,,0,1,1654736654, 山东省 青岛市,,,False,2022-06-08
9,15010928,4193170,583,2,6.0,0,爱***,成都市双流区蛟龙港乌江路乱停乱放现象严重,点后这条路被乱停乱放的车辆弄得只剩下一根车道，而且这条路还通了公交车，每当这个时间段有公交车经过立马变得水泄不通，毫不夸张的说堵的来连一辆自行车都过去不了的那种程度，建议向乌江路旁边的馨园路一样中间设...,1654656858,61.157.14.*,办理中,待回复,线上交办,0,0,四川省委书记王晓晖,投诉,交通,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1654765114, 四川省 成都市,,,False,2022-06-08
0,15007143,2134869,3772,2,1.0,0,W***,南吴街交通秩序混乱安全隐患大,太原市晋源区义井街道康兴路与南吴街交叉口往西，保利梧桐语与梧桐院之间的道路，车辆乱停乱放，经常发生事故，存在较大安全隐患，如果暂时不通车希望有关部门能划定临时停车位并安装<label style='c...,1654617442,120.208.110.*,待回复,待回复,未交办,0,0,晋源区委书记,投诉,治安,微信小程序,,,,,0,1,0.0,,,,,,0,1,1654765114, 山西省 长治市,,,False,2022-06-07
1,15007056,2685845,1641,1,5.0,0,c***,关于低风险地区去海港区疫情防控政策的咨询,我是吉林省长春市德惠市的一名大学生，因7月2日需到海港区参加专升本考试，现长春市包括我所在的地区-长春市德惠市都是低风险地区，所以请问领导我到海港区需要<label style='color:red'...,1654616679,175.19.131.*,已办理,已办理,未交办,0,0,海港区委书记,咨询,旅游,客户端,,,,,0,1,,,,,,,0,0,1654695644, 吉林省 长春市,,,False,2022-06-07
2,15006219,6995663,543,6,7.0,0,W***,同宗物业，分区管理，谁来融合,同一宗物业，却因区委、区政府、街道办、居委会甚至物业和开发商以既成事实，判定为因物业费不同需分区管制而造成实质性物理隔离；试问物业费收...,1654611356,106.114.206.*,待回复,待回复,未交办,0,0,河北省委书记倪岳峰,求助,城建,微信小程序,,,,,0,1,0.0,,,,,,0,1,1654786170, 河北省 石家庄市,,,False,2022-06-07
3,15005950,6996434,2486,5,6.0,0,徐***,尊敬的领导你好,现在从徐州市低风险地区回虞城县还用隔离吗？回家有事，媳妇快生了。,1654610050,223.104.151.*,待回复,待回复,未交办,0,0,虞城县委书记,建言,交通,手机浏览器,,,,,0,1,,,,,,,0,0,1654765114, 山西省,,,False,2022-06-07
4,15005810,3635840,591,5,14.0,0,幻***,阿房路片区,8阿房一路中间大柏树绿化带取掉或者从新绿化，两边人行道提升，非机动车和机动车道隔离。,1654609314,111.18.98.*,待回复,待回复,未交办,0,0,陕西省委书记刘国中,建言,教育,客户端,,,,,0,1,0.0,,,,,,0,1,1654765114, 北京市,,,False,2022-06-07
5,15004581,6229624,743,2,7.0,0,笔***,海淀区百旺家苑小区，汽车堵楼门口停车,要求马连洼街道，在东区21号楼和20号楼的每个单元楼门口放置水泥隔离墩，阻止汽车堵楼门口停车。,1654602281,117.136.0.*,待回复,待回复,未交办,0,0,海淀区委书记王合生,投诉,城建,PC浏览器,,,,,0,1,,,,,,,0,0,1654655774, 北京市,,,False,2022-06-07
6,15004261,6993055,827,2,7.0,0,t***,府东街和大东关街间东盛巷频繁拆装道路隔离桩,最近几年这条道路频繁的拆装过隔离道路隔离桩，最早是水泥墩加铁杆，拆除...,1654600256,112.2.252.*,待回复,待回复,未交办,0,0,太原市委书记韦韬,投诉,城建,手机浏览器,,,,,0,1,1.0,,,,,,0,1,1654768417, 江苏省 南京市,,,False,2022-06-07
