,tid,userId,fid,typeId,domainId,topicId,nickName,subject,content,dateline,ip,stateInfo,traceInfo,processInfo,hasReported,favNum,forumName,typeName,domainName,sourceName,answerId,answerContent,answerDateline,answerOrganization,userType,threadState,publicAttachment,userFavStatus,grade,gradeLevel,gradeManner,gradeSpeed,trashRecheckState,attachment,threadsCheckTime,from,shisiwu,date
0,13570077,6215046,579,6,5.0,0,s***,因疫情原因取消出游计划，三亚天域酒店拒绝退房,因本人居住地（也是户籍所在地）武汉2月底出现新冠疫情，截止2.28每天仍有新增病例，本人行程码也是带星状态，三亚2.28也出现新冠病例，为配合两地防疫政策，尽可能避免感染风险及出游过程中可能出现的<l...,1646109235,58.49.7.*,待回复,待回复,未交办,0,0,海南省委书记沈晓明,求助,旅游,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1646122982, 湖北省 武汉市,False,2022-03-01
1,13562297,6210921,2095,2,5.0,0,y***,佰翔软件园酒店服务和设施问题,根椐防疫要求安排入住佰翔软件园酒店，隔离期间，工作人员经常把送歺时間和新入住客人的时间安排在一起，使我们没法按时吃饭(1月16日晚6:...,1646058070,183.250.89.*,待回复,待回复,未交办,0,0,湖里区委书记,投诉,旅游,客户端,,,,,0,1,0.0,,,,,,0,1,1646106659, 福建省 厦门市,False,2022-02-28
2,13557903,1992205,3768,5,7.0,0,百***,九一小学恒大华府小区附近交通,请考虑在该校门北侧辅道入口处设置隔离桩，禁止机动车驶入。,1646042539,117.136.4.*,待回复,待回复,未交办,0,0,小店区委书记,建言,城建,客户端,,,,,0,1,0.0,,,,,,0,1,1646124130, 山西省 太原市,False,2022-02-28
3,13553433,6184365,1251,2,4.0,0,z***,某酒店收费超标,本人隔离14天被分到了**酒店，最低费用526房费一天，加100餐费一天（只能选择一日三餐或者一餐都不吃）。此属于收费超标和强制消费。...,1646029618,120.238.233.*,待回复,待回复,未交办,0,1,中山市委书记郭文海,投诉,企业,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1646099900, 广东省,False,2022-02-28
4,13552848,6206300,1289,2,12.0,0,芬***,防疫隔离政策,对曾经去过管控区的往来人员居家隔离14天，烦请相关部门根据具体情况，制定优化相关政策。,1646028009,171.214.214.*,待回复,待回复,未交办,0,0,成都市委书记施小琳,投诉,医疗,PC浏览器,,,,,0,1,,,,,,,0,0,1646099900, 四川省 成都市,False,2022-02-28
5,13552585,4238948,1049,5,7.0,0,热***,完善交通路口绿化带设置,颍州区南京路与刘锜路口于前年通车 由于附近有刘锜小学 每天上下学时 道路拥堵严重 给学生带来安全隐患 该道路修通后南京路中间隔离带一直...,1646027299,112.32.195.*,待回复,待回复,未交办,0,0,阜阳市委书记孙正东,建言,城建,手机浏览器,,,,,0,1,0.0,,,,,,0,1,1646036243, 上海市,False,2022-02-28
6,13550863,6204879,1198,5,6.0,0,H***,蒸水南路与翠竹路交汇处需要一个马路通道,我建议交警部门把蒸水南路与翠竹路交汇处的隔离栏移除，在交汇口留出一个可供行人通行，车辆调头的口子，以方便华新汽车站乘客及周边居民出行。,1646023110,110.52.129.*,待回复,待回复,未交办,0,0,衡阳市市长朱健,建言,交通,PC浏览器,,,,,0,1,0.0,,,,,,0,1,1646099472, 湖南省 衡阳市,False,2022-02-28
7,13549142,3642068,3769,6,12.0,0,W***,关于疫情防控,社区人员让我们居家隔离。7+3。我家人的健康码是绿码。像这种只收到短信。健康码未变色的。需要<label style='color:r...,1646017888,120.208.113.*,办理中,待回复,线下交办,0,0,迎泽区委书记,求助,医疗,微信小程序,,,,,0,1,,,,,,,0,0,1646044582, 山西省 长治市,False,2022-02-28
8,13545183,6203463,970,6,12.0,0,肚***,黄码,回沪后被要求居家隔离，一直配合政策在家隔离。,1646008804,183.192.100.*,待回复,待回复,未交办,0,0,松江区区长李谦,求助,医疗,手机浏览器,,,,,0,1,,,,,,,0,0,1646098959, 上海市,False,2022-02-28
9,13544315,2620059,2494,5,6.0,0,相***,淮滨城乡城镇公共交通体系提出建议,此次给你们留言是处于，对家乡的关心，留言主要对于公共交通在一块进行提出宝贵的意见，第一，近些年，我国城乡城镇公共交通领域发生重大的变化，一些乘坐公共交通市民，素质等方面，正逐步慢慢改善，基层公交公司，...,1646006081,221.216.116.*,办理中,待回复,线下交办,0,0,淮滨县委书记,建言,交通,客户端,,,,,0,1,,,,,,,0,0,1646036193, 北京市,False,2022-02-27
